,date,title,artist,weeks,uri,af
12,1954-11-26,THIS OLE HOUSE,ROSEMARY CLOONEY,1,spotify:track:3reMY0PF49alfXMs30c2z4,"{'danceability': 0.689, 'energy': 0.723, 'key': 0, 'loudness': -8.079, 'mode': 1, 'speechiness': 0.0483, 'acousticness': 0.755, 'instrumentalness': 0, 'liveness': 0.248, 'valence': 0.962, 'tempo': 105.913, 'type': 'audio_features', 'id': '3reMY0PF49alfXMs30c2z4', 'uri': 'spotify:track:3reMY0PF49alfXMs30c2z4', 'track_href': 'https://api.spotify.com/v1/tracks/3reMY0PF49alfXMs30c2z4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3reMY0PF49alfXMs30c2z4', 'duration_ms': 142267, 'time_signature': 4}"
13,1954-03-12,LET'S HAVE ANOTHER PARTY,WINIFRED ATWELL,5,spotify:track:4OZbcWH3QiTtFGH714p2oc,"{'danceability': 0.689, 'energy': 0.828, 'key': 4, 'loudness': -3.334, 'mode': 1, 'speechiness': 0.0384, 'acousticness': 0.5, 'instrumentalness': 0.747, 'liveness': 0.285, 'valence': 0.877, 'tempo': 121.524, 'type': 'audio_features', 'id': '4OZbcWH3QiTtFGH714p2oc', 'uri': 'spotify:track:4OZbcWH3QiTtFGH714p2oc', 'track_href': 'https://api.spotify.com/v1/tracks/4OZbcWH3QiTtFGH714p2oc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4OZbcWH3QiTtFGH714p2oc', 'duration_ms': 177333, 'time_signature': 4}"
0,1955-07-01,FINGER OF SUSPICION,DICKIE VALENTINE WITH THE STARGAZERS,1,,{}
1,1955-01-14,MAMBO ITALIANO,ROSEMARY CLOONEY WITH THE MELLOMEN,1,spotify:track:0QoV9nLBwYEU1bA6m61h4F,"{'danceability': 0.592, 'energy': 0.522, 'key': 2, 'loudness': -9.922, 'mode': 0, 'speechiness': 0.217, 'acousticness': 0.777, 'instrumentalness': 0, 'liveness': 0.219, 'valence': 0.808, 'tempo': 150.452, 'type': 'audio_features', 'id': '0QoV9nLBwYEU1bA6m61h4F', 'uri': 'spotify:track:0QoV9nLBwYEU1bA6m61h4F', 'track_href': 'https://api.spotify.com/v1/tracks/0QoV9nLBwYEU1bA6m61h4F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0QoV9nLBwYEU1bA6m61h4F', 'duration_ms': 149560, 'time_signature': 4}"
2,1955-01-21,FINGER OF SUSPICION,DICKIE VALENTINE WITH THE STARGAZERS,2,,{}
3,1955-04-02,MAMBO ITALIANO,ROSEMARY CLOONEY WITH THE MELLOMEN,2,spotify:track:0QoV9nLBwYEU1bA6m61h4F,"{'danceability': 0.592, 'energy': 0.522, 'key': 2, 'loudness': -9.922, 'mode': 0, 'speechiness': 0.217, 'acousticness': 0.777, 'instrumentalness': 0, 'liveness': 0.219, 'valence': 0.808, 'tempo': 150.452, 'type': 'audio_features', 'id': '0QoV9nLBwYEU1bA6m61h4F', 'uri': 'spotify:track:0QoV9nLBwYEU1bA6m61h4F', 'track_href': 'https://api.spotify.com/v1/tracks/0QoV9nLBwYEU1bA6m61h4F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0QoV9nLBwYEU1bA6m61h4F', 'duration_ms': 149560, 'time_signature': 4}"
4,1955-02-18,"SOFTLY, SOFTLY",RUBY MURRAY,3,spotify:track:2qLFfXmrhJJME5mfjCVuNG,"{'danceability': 0.3, 'energy': 0.245, 'key': 2, 'loudness': -12.767, 'mode': 1, 'speechiness': 0.041, 'acousticness': 0.92, 'instrumentalness': 0.00203, 'liveness': 0.102, 'valence': 0.246, 'tempo': 126.523, 'type': 'audio_features', 'id': '2qLFfXmrhJJME5mfjCVuNG', 'uri': 'spotify:track:2qLFfXmrhJJME5mfjCVuNG', 'track_href': 'https://api.spotify.com/v1/tracks/2qLFfXmrhJJME5mfjCVuNG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qLFfXmrhJJME5mfjCVuNG', 'duration_ms': 149333, 'time_signature': 3}"
5,1955-11-03,GIVE ME YOUR WORD,TENNESSEE ERNIE FORD,7,spotify:track:0Bb0dhDg4PJT2O5ufLSczG,"{'danceability': 0.344, 'energy': 0.286, 'key': 3, 'loudness': -9.52, 'mode': 0, 'speechiness': 0.0275, 'acousticness': 0.865, 'instrumentalness': 0.406, 'liveness': 0.17, 'valence': 0.267, 'tempo': 92.615, 'type': 'audio_features', 'id': '0Bb0dhDg4PJT2O5ufLSczG', 'uri': 'spotify:track:0Bb0dhDg4PJT2O5ufLSczG', 'track_href': 'https://api.spotify.com/v1/tracks/0Bb0dhDg4PJT2O5ufLSczG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Bb0dhDg4PJT2O5ufLSczG', 'duration_ms': 190600, 'time_signature': 4}"
6,1955-04-29,CHERRY PINK AND APPLE BLOSSOM WHITE,"PEREZ 'PREZ' PRADO & HIS ORCHESTRA, THE KING OF THE MAMBO",2,,{}
7,1955-05-13,STRANGER IN PARADISE,TONY BENNETT,2,spotify:track:1HUc5mDTIx8Ul2cxSiAkcj,"{'danceability': 0.283, 'energy': 0.326, 'key': 5, 'loudness': -9.091, 'mode': 1, 'speechiness': 0.0291, 'acousticness': 0.853, 'instrumentalness': 8.62e-06, 'liveness': 0.219, 'valence': 0.108, 'tempo': 79.176, 'type': 'audio_features', 'id': '1HUc5mDTIx8Ul2cxSiAkcj', 'uri': 'spotify:track:1HUc5mDTIx8Ul2cxSiAkcj', 'track_href': 'https://api.spotify.com/v1/tracks/1HUc5mDTIx8Ul2cxSiAkcj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1HUc5mDTIx8Ul2cxSiAkcj', 'duration_ms': 300333, 'time_signature': 4}"
